"Quantity","Value"
"Dyad","CUW-SUR"
"Sigma","5"
"N_draws","500"
"N_valid","500"
"q10","NA"
"q25","NA"
"q50","NA"
"q75","NA"
"q90","NA"
"Range_1090","27.2512"
"Range_1090_normal","49.5883"
