"Population","N","Mean_theta_A","SD_theta_A","Mean_theta_B","SD_theta_B","Mean_theta_D","SD_theta_D","theta_D_q10","theta_D_q90"
"Full",6339,-0.590559426927672,1.13917650154915,-0.122079887595796,0.81132222962101,0.0306879007375117,0.796111335061864,-0.495309146320326,0.502062840924988
"BASELINE",4639,-0.557113872692587,1.06565082075768,-0.110147617340192,0.691211776430675,0.043822372329425,0.6767218142163,-0.528147776789275,0.517715571066978
