"quantity","pack","fixed","se_fixed","deviation","deviation_se"
"N_pairs",4182,4182,NA,0,NA
"mean_theta_D",0.214,0.24726509666428,0.0234953920837514,0.0332650966642802,1.41581364319028
"SD_theta_D",NA,1.56139374983352,0.027075659246478,NA,NA
"SD_theta_true",NA,1.52458639613204,0.0279099581904363,NA,NA
"TW_mean",NA,0.304331650871669,0.092028759608135,NA,NA
"Q1_Q5_spread",0.465,0.913735219750728,0.0808586479445326,0.448735219750728,5.54962556458465
"spec_spread_B_FULL",1.307,1.30725056949996,NA,0.00025056949995772,NA
