"arm","description","subtraction","SD_true","CI_low","CI_high"
"A_noise","Noise-only (se_total)",0.261145139209641,1.47540004839689,1.41910381358362,1.52664667256866
"B_placebo","In-sample placebo",0.679560439324511,1.32604298674465,1.25980893601223,1.38338933365327
"C_OOS","OOS drift",0.389160931240985,1.43135932273423,1.37022555202715,1.48464324237171
