"arm","sd_true","dyad","dyad_quintile","mean_theta","sigma","q10","q50","q90","RANGE_1090"
"lo",0.74,"LUX_ATG",1,0.8554,5,-0.00551985680540018,1.40672819676463,5.24740066516621,6.28207682970671
"hi",1.48,"LUX_ATG",1,0.8554,5,-0.578842585992794,1.47255628511203,15.3361477661775,38.7886980564895
"lo",0.74,"NLD_CRI",5,-0.0583,5,-0.599790446370108,-0.03050101186467,1.5233551910548,6.30508484409736
"hi",1.48,"NLD_CRI",5,-0.0583,5,-0.830581350234208,-0.00393760306600549,5.64377565781817,39.215137571942
