"panel","year","statistic","grid_point","value"
"real","2007","excess_kurtosis","yearly",0.331485617308484
"real","2008","skewness","yearly",-0.337442505467464
"real","2008","excess_kurtosis","yearly",0.345273606568308
"real","2009","skewness","yearly",-0.317521225021449
"real","2009","excess_kurtosis","yearly",0.312561607417824
"real","2010","skewness","yearly",-0.290356984780379
"real","2010","excess_kurtosis","yearly",0.288357470174435
"real","2011","skewness","yearly",-0.30125171680702
"real","2011","excess_kurtosis","yearly",0.277446047516726
"real","2012","skewness","yearly",-0.281870008161871
"real","2012","excess_kurtosis","yearly",0.171250499543433
"real","2013","skewness","yearly",-0.320501237510429
"real","2013","excess_kurtosis","yearly",0.324016199628947
"real","2014","skewness","yearly",-0.30885999456594
"real","2014","excess_kurtosis","yearly",0.140847322579487
"real","2015","skewness","yearly",-0.364089301970375
"real","2015","excess_kurtosis","yearly",0.347108292727056
"real","2016","skewness","yearly",-0.332456219857472
"real","2016","excess_kurtosis","yearly",0.0954408563687279
"real","2017","skewness","yearly",-0.377703119309738
"real","2017","excess_kurtosis","yearly",0.198114855484985
"real","2018","skewness","yearly",-0.368963988647659
"real","2018","excess_kurtosis","yearly",0.0255148290710929
"real","2019","skewness","yearly",-0.344785181429998
"real","2019","excess_kurtosis","yearly",0.111968775941405
"control","1988","skewness","yearly",0.0290536087518342
"control","1988","excess_kurtosis","yearly",-0.286060321398675
"control","1989","skewness","yearly",0.029228417600597
"control","1989","excess_kurtosis","yearly",-0.203451804788283
"control","1990","skewness","yearly",0.00298339299987911
"control","1990","excess_kurtosis","yearly",-0.262536145175341
"control","1991","skewness","yearly",-0.0271562524169954
"control","1991","excess_kurtosis","yearly",-0.234675858941787
"control","1992","skewness","yearly",0.000646341564214264
"control","1992","excess_kurtosis","yearly",-0.228831522571393
"control","1993","skewness","yearly",-0.00873986444578836
"control","1993","excess_kurtosis","yearly",-0.274677627939438
"control","1994","skewness","yearly",0.021089591986529
"control","1994","excess_kurtosis","yearly",-0.26808755510079
"control","1995","skewness","yearly",0.0146916263440793
"control","1995","excess_kurtosis","yearly",-0.294336249452274
"control","1996","skewness","yearly",0.0110676179929648
"control","1996","excess_kurtosis","yearly",-0.302642448535638
"control","1997","skewness","yearly",0.0069449370744066
"control","1997","excess_kurtosis","yearly",-0.257689414054937
"control","1998","skewness","yearly",0.0193937407651314
"control","1998","excess_kurtosis","yearly",-0.228489471934788
"control","1999","skewness","yearly",0.0345995520867876
"control","1999","excess_kurtosis","yearly",-0.259593009581226
"control","2000","skewness","yearly",-0.00632817351161962
"control","2000","excess_kurtosis","yearly",-0.242868881470682
"control","2001","skewness","yearly",0.0324675159201028
"control","2001","excess_kurtosis","yearly",-0.280300443265695
"control","2002","skewness","yearly",-0.00881330732635491
"control","2002","excess_kurtosis","yearly",-0.302891066953299
"control","2003","skewness","yearly",0.0022325292640041
"control","2003","excess_kurtosis","yearly",-0.270655740188492
"control","2004","skewness","yearly",-0.000719321842223166
"control","2004","excess_kurtosis","yearly",-0.263867871901636
"control","2005","skewness","yearly",0.00615453208739223
"control","2005","excess_kurtosis","yearly",-0.26144735058848
"control","2006","skewness","yearly",-0.0084344136210298
"control","2006","excess_kurtosis","yearly",-0.278988669434404
"control","2007","skewness","yearly",-0.0194476326186039
"control","2007","excess_kurtosis","yearly",-0.268269398056519
"control","2008","skewness","yearly",0.0277373041402756
"control","2008","excess_kurtosis","yearly",-0.253608293154337
"control","2009","skewness","yearly",-0.00731493359882759
"control","2009","excess_kurtosis","yearly",-0.273843627551346
"control","2010","skewness","yearly",-0.00461195724481068
"control","2010","excess_kurtosis","yearly",-0.303802934520367
"control","2011","skewness","yearly",-0.00583022085640109
"control","2011","excess_kurtosis","yearly",-0.246870819003203
"control","2012","skewness","yearly",0.00332738003601265
"control","2012","excess_kurtosis","yearly",-0.271552115608023
"control","2013","skewness","yearly",-0.0131489921088777
"control","2013","excess_kurtosis","yearly",-0.272150699284934
"control","2014","skewness","yearly",-0.00886802995481219
"control","2014","excess_kurtosis","yearly",-0.276674316277544
"control","2015","skewness","yearly",0.000455427130746083
"control","2015","excess_kurtosis","yearly",-0.240890907890862
"control","2016","skewness","yearly",0.000463113941421503
"control","2016","excess_kurtosis","yearly",-0.23621272172169
"control","2017","skewness","yearly",-0.0104458625369869
"control","2017","excess_kurtosis","yearly",-0.278275797952621
"control","2018","skewness","yearly",0.00185877104610242
"control","2018","excess_kurtosis","yearly",-0.32648852214241
"control","2019","skewness","yearly",0.00891820463444535
"control","2019","excess_kurtosis","yearly",-0.309633596766342
"real","overall","quantile","p0.950",1.44513203403245
"control","overall","quantile","p0.950",1.60702992691261
"real","overall","quantile","p0.990",2.06883420712573
"control","overall","quantile","p0.990",2.19364808527226
"real","overall","quantile","p0.995",2.30967844974308
"control","overall","quantile","p0.995",2.39644573981626
"real","overall","quantile","p0.999",2.85689821445403
"control","overall","quantile","p0.999",2.80003029768481
"real","1988","quantile","p0.950",2.30462995476105
"real","1988","quantile","p0.990",3.18153145437584
"real","1988","quantile","p0.995",3.42768463907982
"real","1988","quantile","p0.999",3.95368389284089
"real","1989","quantile","p0.950",2.03352758513376
"real","1989","quantile","p0.990",2.61252565803783
"real","1989","quantile","p0.995",2.81355195522105
"real","1989","quantile","p0.999",3.18947760787544
"real","1990","quantile","p0.950",1.91066148383777
"real","1990","quantile","p0.990",2.5178485534235
"real","1990","quantile","p0.995",2.69483921897224
"real","1990","quantile","p0.999",3.08424717404441
"real","1991","quantile","p0.950",1.70519399467691
"real","1991","quantile","p0.990",2.33914942960479
"real","1991","quantile","p0.995",2.59901559936348
"real","1991","quantile","p0.999",3.09376119914393
"real","1992","quantile","p0.950",1.68402652182386
"real","1992","quantile","p0.990",2.38197161940899
"real","1992","quantile","p0.995",2.71384547644023
"real","1992","quantile","p0.999",3.33960766707749
"real","1993","quantile","p0.950",1.59456787021346
"real","1993","quantile","p0.990",2.2628488799483
"real","1993","quantile","p0.995",2.52469443979537
"real","1993","quantile","p0.999",3.04165683838895
"real","1994","quantile","p0.950",1.57606875765531
"real","1994","quantile","p0.990",2.23727278540263
"real","1994","quantile","p0.995",2.48086178282609
"real","1994","quantile","p0.999",2.88902306851428
"real","1995","quantile","p0.950",1.51033204798069
"real","1995","quantile","p0.990",2.11444443134956
"real","1995","quantile","p0.995",2.38733262519942
"real","1995","quantile","p0.999",2.94659752084081
"real","1996","quantile","p0.950",1.50878962579554
"real","1996","quantile","p0.990",2.12033852992338
"real","1996","quantile","p0.995",2.35051775219475
"real","1996","quantile","p0.999",2.84110059478343
"real","1997","quantile","p0.950",1.46713164020675
"real","1997","quantile","p0.990",2.05228000232637
"real","1997","quantile","p0.995",2.2577719945453
"real","1997","quantile","p0.999",2.69518067632817
"real","1998","quantile","p0.950",1.50172043846008
"real","1998","quantile","p0.990",2.07874586343578
"real","1998","quantile","p0.995",2.33078103486738
"real","1998","quantile","p0.999",2.71877375296789
"real","1999","quantile","p0.950",1.50098316972777
"real","1999","quantile","p0.990",2.12919329699809
"real","1999","quantile","p0.995",2.36749110035921
"real","1999","quantile","p0.999",2.87723584807967
"real","2000","quantile","p0.950",1.46191660027326
"real","2000","quantile","p0.990",2.02949657767847
"real","2000","quantile","p0.995",2.23195277142296
"real","2000","quantile","p0.999",2.69880077263808
"real","2001","quantile","p0.950",1.430559733062
"real","2001","quantile","p0.990",1.99945623241607
"real","2001","quantile","p0.995",2.20941964324309
"real","2001","quantile","p0.999",2.73619582501631
"real","2002","quantile","p0.950",1.40243180162925
"real","2002","quantile","p0.990",2.02911904447176
"real","2002","quantile","p0.995",2.23611308667188
"real","2002","quantile","p0.999",2.75936425929325
"real","2003","quantile","p0.950",1.39243882135979
"real","2003","quantile","p0.990",1.96308835641294
"real","2003","quantile","p0.995",2.16935767692917
"real","2003","quantile","p0.999",2.6520590773366
"real","2004","quantile","p0.950",1.37555654274566
"real","2004","quantile","p0.990",1.94301765680323
"real","2004","quantile","p0.995",2.14473911838984
"real","2004","quantile","p0.999",2.61330972959222
"real","2005","quantile","p0.950",1.37167818741808
"real","2005","quantile","p0.990",1.98258188812072
"real","2005","quantile","p0.995",2.24294199667769
"real","2005","quantile","p0.999",2.69907438193443
"real","2006","quantile","p0.950",1.37032695608384
"real","2006","quantile","p0.990",1.94251603130263
"real","2006","quantile","p0.995",2.15482086140466
"real","2006","quantile","p0.999",2.59486377842653
"real","2007","quantile","p0.950",1.37366399935462
"real","2007","quantile","p0.990",1.95031268236965
"real","2007","quantile","p0.995",2.16671559454175
"real","2007","quantile","p0.999",2.68990970848302
"real","2008","quantile","p0.950",1.34756887577333
"real","2008","quantile","p0.990",1.91584016622157
"real","2008","quantile","p0.995",2.15572973281172
"real","2008","quantile","p0.999",2.63298163288691
"real","2009","quantile","p0.950",1.36150705548495
"real","2009","quantile","p0.990",1.92570058536513
"real","2009","quantile","p0.995",2.1456390839281
"real","2009","quantile","p0.999",2.64962060794194
"real","2010","quantile","p0.950",1.30264219480974
"real","2010","quantile","p0.990",1.90469164312784
"real","2010","quantile","p0.995",2.1323469537275
"real","2010","quantile","p0.999",2.60718795689925
"real","2011","quantile","p0.950",1.29766423686882
"real","2011","quantile","p0.990",1.9055657285551
"real","2011","quantile","p0.995",2.11272887816807
"real","2011","quantile","p0.999",2.62468454425428
"real","2012","quantile","p0.950",1.30327313481268
"real","2012","quantile","p0.990",1.88971861347956
"real","2012","quantile","p0.995",2.11196836929954
"real","2012","quantile","p0.999",2.64967378987791
"real","2013","quantile","p0.950",1.30006212841936
"real","2013","quantile","p0.990",1.87660335856972
"real","2013","quantile","p0.995",2.12461943196671
"real","2013","quantile","p0.999",2.65258204412171
"real","2014","quantile","p0.950",1.29316408139646
"real","2014","quantile","p0.990",1.88943548459988
"real","2014","quantile","p0.995",2.09844735739684
"real","2014","quantile","p0.999",2.52189771474749
"real","2015","quantile","p0.950",1.35674955443129
"real","2015","quantile","p0.990",1.87721848269261
"real","2015","quantile","p0.995",2.11766859375555
"real","2015","quantile","p0.999",2.68061923342983
"real","2016","quantile","p0.950",1.38622107337995
"real","2016","quantile","p0.990",1.92687194267627
"real","2016","quantile","p0.995",2.13955336293812
"real","2016","quantile","p0.999",2.63334861184951
"real","2017","quantile","p0.950",1.40173073319416
"real","2017","quantile","p0.990",1.92772381163736
"real","2017","quantile","p0.995",2.15286830597119
"real","2017","quantile","p0.999",2.69839645324084
"real","2018","quantile","p0.950",1.42883063136135
"real","2018","quantile","p0.990",1.95015950115783
"real","2018","quantile","p0.995",2.17378158862467
"real","2018","quantile","p0.999",2.57999289747704
"real","2019","quantile","p0.950",1.47991623613581
"real","2019","quantile","p0.990",2.11215347948827
"real","2019","quantile","p0.995",2.31257016015045
"real","2019","quantile","p0.999",2.73924044600595
"control","1988","quantile","p0.950",1.59879512652887
"control","1988","quantile","p0.990",2.16776927450905
"control","1988","quantile","p0.995",2.38193757289231
"control","1988","quantile","p0.999",2.93172513886801
"control","1989","quantile","p0.950",1.57439553982515
"control","1989","quantile","p0.990",2.21681397639424
"control","1989","quantile","p0.995",2.40234981633187
"control","1989","quantile","p0.999",2.8656346913441
"control","1990","quantile","p0.950",1.60683486731751
"control","1990","quantile","p0.990",2.16386322674227
"control","1990","quantile","p0.995",2.37496816751496
"control","1990","quantile","p0.999",2.80664188468681
"control","1991","quantile","p0.950",1.60186360867889
"control","1991","quantile","p0.990",2.1920746393647
"control","1991","quantile","p0.995",2.365560152046
"control","1991","quantile","p0.999",2.86160707176853
"control","1992","quantile","p0.950",1.61449441512457
"control","1992","quantile","p0.990",2.18600239367202
"control","1992","quantile","p0.995",2.41675173833188
"control","1992","quantile","p0.999",2.76909163368542
"control","1993","quantile","p0.950",1.61620517397436
"control","1993","quantile","p0.990",2.20492965870873
"control","1993","quantile","p0.995",2.41887793013412
"control","1993","quantile","p0.999",2.85693847116758
"control","1994","quantile","p0.950",1.60436631822873
"control","1994","quantile","p0.990",2.19229099324211
"control","1994","quantile","p0.995",2.39733726567788
"control","1994","quantile","p0.999",2.77792693269941
"control","1995","quantile","p0.950",1.60730382794357
"control","1995","quantile","p0.990",2.18734980945824
"control","1995","quantile","p0.995",2.38011520225633
"control","1995","quantile","p0.999",2.73489104134036
"control","1996","quantile","p0.950",1.6004200727865
"control","1996","quantile","p0.990",2.1756345652279
"control","1996","quantile","p0.995",2.34126490017949
