"Specification","Published","REBUILD","SE","Difference"
"(B) Bilateral",1.402,1.40199342455487,0.0596072032284292,-6.57544513393837e-06
"(C) Country",0.922,0.922221975531917,0.0553244162912178,0.000221975531917051
"(CY) Country-Year",0.411,0.410766808684121,0.0536254540968961,-0.000233191315879011
"(FULL) Full",0.095,0.0947428550549083,0.0299465419424047,-0.0002571449450917
