"quintile","n","mean_theta_B","se_mean_B","mean_theta_D","se_mean_D","mean_pre_trade"
1,837,0.557141761829632,0.0772089085420877,0.855441640476092,0.0759689155890652,0.675591359617494
2,836,0.136612571511766,0.0623703087594935,0.374436386815467,0.0601559355912858,7.80351205960304
3,836,-0.0218289359174699,0.0498649983506338,0.130798792905637,0.0485445991018433,47.0922845821652
4,836,-0.167637611954365,0.0375080205287663,-0.0664197406967008,0.0369323604592164,251.599988418477
5,837,-0.12556887794723,0.0278624393336182,-0.0582935792746363,0.0276919629430518,15690.9565323628
