"panel","year","threshold_name","threshold_value","n_exceed","thin_flag","ln_mu","ln_sigma","ln_status","gpd_xi","gpd_sigma","gpd_status","vuong_stat","vuong_p","winner"
"real",1995,"p90",152.5975812,1890,"",3.45714093928319,2.48931806616468,"converged",1.12216749798786,332.983258895375,"converged",3.96989309197346,7.19048875144926e-05,"LN"
"real",1995,"p95",492.160091000002,945,"",5.23729070023315,2.0157986156664,"converged",NA,NA,"failed:0",NA,NA,"no_comparison"
"real",1995,"p97.5",1393.79724959999,473,"",4.62699899020555,2.17815276796257,"converged",0.322616380021501,5798.55723506786,"converged",6.59586635352356,4.22779652225746e-11,"LN"
"real",1995,"p99",3866.17310852001,189,"",7.41725978138112,1.51859798710666,"converged",0.222458494277014,10680.8526521751,"converged",2.58618736437674,0.00970441623475785,"LN"
"real",1996,"p90",155.747700000001,1962,"",3.55831125021971,2.46602636842267,"converged",1.11370954338905,345.464513741018,"converged",4.37664557288863,1.20519709624252e-05,"LN"
"real",1996,"p95",516.5808624,981,"",4.99703620130176,2.0801356657879,"converged",NA,NA,"failed:0",NA,NA,"no_comparison"
"real",1996,"p97.5",1432.3759071,491,"",4.74793851396697,2.14345923625674,"converged",NA,NA,"failed:0",NA,NA,"no_comparison"
"real",1996,"p99",3929.33504142,197,"",7.40665968096295,1.51560443189587,"converged",0.226621244489883,10706.0211229825,"converged",2.69701299048404,0.0069964540925149,"LN"
"real",1997,"p90",161.05395,2089,"",3.77471682381817,2.4160961789277,"converged",NA,NA,"failed:0",NA,NA,"no_comparison"
"real",1997,"p95",540.5831385,1045,"",5.17470850683334,2.03276328306587,"converged",NA,NA,"failed:0",NA,NA,"no_comparison"
"real",1997,"p97.5",1555.4351755,523,"",3.30307238669074,2.43152921112498,"converged",0.323000928768612,5982.97418084561,"converged",6.96523630303594,3.27852976969473e-12,"LN"
"real",1997,"p99",4194.14161099999,209,"",7.00595562477694,1.61749619576862,"converged",0.242711828738989,10974.6983468741,"converged",3.02139996127581,0.00251608766220638,"LN"
"real",1998,"p90",146.0046234,2188,"",3.45819795260142,2.48781901005478,"converged",NA,NA,"failed:0",NA,NA,"no_comparison"
"real",1998,"p95",487.955828550001,1094,"",4.8148651369706,2.12716988035468,"converged",0.835055977642069,1010.31336414935,"converged",1.59106668784426,0.111594568452471,"neither"
"real",1998,"p97.5",1415.26376007499,547,"",2.44705159173325,2.60507806318786,"converged",0.338413459010194,5783.56829524846,"converged",7.58822338842016,3.24321434597953e-14,"LN"
"real",1998,"p99",3849.98277352002,219,"",6.42764791442355,1.77856286846498,"converged",0.263690908978293,10787.7432645655,"converged",3.43584926665568,0.000590699521806447,"LN"
"real",1999,"p90",145.0090081,2287,"",3.45137966864011,2.52615028008275,"converged",NA,NA,"failed:0",NA,NA,"no_comparison"
"real",1999,"p95",497.99835345,1144,"",4.91696972531593,2.12932015972454,"converged",NA,NA,"failed:0",NA,NA,"no_comparison"
"real",1999,"p97.5",1442.169941175,572,"",4.21426406474269,2.28332456338499,"converged",0.327748892926059,6201.88027429608,"converged",7.55402020069108,4.22024680502035e-14,"LN"
"real",1999,"p99",3937.22429480999,229,"",7.47225143189384,1.52851285974803,"converged",0.243669599233542,11635.0132254653,"converged",3.18542126148789,0.00144543431684595,"LN"
"real",2000,"p90",146.3469529,2586,"",3.75535338976299,2.52044440174571,"converged",1.17970189628688,362.001158978938,"converged",4.30456940786687,1.67310832978177e-05,"LN"
"real",2000,"p95",534.082148249999,1293,"",4.94547484160731,2.20125600426802,"converged",NA,NA,"failed:0",NA,NA,"no_comparison"
"real",2000,"p97.5",1590.80404441879,647,"",4.98729030641282,2.18412003688979,"converged",0.332493425889775,7559.43339933624,"converged",8.17335766035169,2.99923161981159e-16,"LN"
"real",2000,"p99",4674.17601037,259,"",7.23352307657998,1.66201954938914,"converged",0.256507782592604,14148.1194248527,"converged",3.58275948149829,0.000339983621607546,"LN"
"real",2001,"p90",148.6027556,2663,"",3.20402550585816,2.64266247769828,"converged",NA,NA,"failed:0",NA,NA,"no_comparison"
"real",2001,"p95",509.101273618859,1332,"",4.9172586065217,2.19044871283125,"converged",NA,NA,"failed:0",NA,NA,"no_comparison"
