"item","value"
"var_11+_split50",0.159302759045462
"var_2-3_split50",2.62042064097356
"var_4-5_split50",0.607393301951322
"var_6-10_split50",0.456478386877383
"var_11+_split60",0.155423020805895
"var_2-3_split60",2.86363361433254
"var_4-5_split60",0.773505313324574
"var_6-10_split60",0.424749748655011
"var_2-3_split70",2.64256415302023
"var_4-5_split70",1.03754045217691
"var_6-10_split70",0.436109009473836
"var_2-3_split80",2.59312149327234
"var_4-5_split80",0.76257331158451
"var_6-10_split80",0.296922419502124
"beta_early",-0.142126455320858
"se_early",0.0475069208085676
"r_squared",0.42721499000169
"ratio_11plus_extrap",0.298974844837779
"var_11plus_V4",0.159302759045462
"var_11plus_S18",1.23
