"panel","intercept","intercept_se","slope","slope_se","r_squared","n_pairs","cor_mean_var","var_reliability"
"real",-0.220088355622992,0.00515304980925588,-0.196599862499929,0.00100999289459456,0.576978697664209,27782,-0.75959113848452,0.757509663267823
"normal",0.00285068559596608,0.00436449695983847,-0.0042499762695907,0.00412103042813308,3.82835761827839e-05,27782,-0.0061873723164833,-0.0230322979608988
"control_c",-0.588303115227266,0.00814541173580211,-0.335064495392663,0.00138872267605652,0.676953363274749,27782,-0.822771756488243,0.614400422437355
