"object","n_exceed","threshold","gpd_xi","ln_mu","ln_sigma","vuong_stat","vuong_p","winner"
"Spec3_eta",79472,4786.08479470498,0.897171965844114,-0.780612235054087,6.37014344495199,630.775359631591,0,"LN"
"Spec3_abs",249983,205.558876101868,NA,4.10030588930436,2.5045626577779,NA,NA,"N/A"
"Spec4_eta",79472,33709.0270970934,NA,3.28632339911768,6.06412969454068,NA,NA,"N/A"
"Spec4_abs",249984,201.252300182625,NA,4.45538567810457,2.47529723119527,NA,NA,"N/A"
