"panel","pair","mean_log_eta","var_log_eta","n_cells","intercept_se","slope_se","r_squared"
"real","ARE_ITA",-0.848981609589112,2.2263521461676,32,NA,NA,NA
"real","ARE_JOR",-1.6773398550866,3.90138133559763,8,NA,NA,NA
"real","ARE_JPN",0.0802783604057653,0.0369124618868259,32,NA,NA,NA
"real","ARE_KEN",-1.34689803515825,8.41875308472038,28,NA,NA,NA
"real","ARE_KOR",0.113937934368178,0.124616048609441,32,NA,NA,NA
"real","ARE_LKA",-1.08164932473856,2.9447280486122,32,NA,NA,NA
"real","ARE_MAR",-3.34549454816417,11.763197108322,8,NA,NA,NA
"real","ARE_MYS",-0.942936670063937,1.74293979883681,32,NA,NA,NA
"real","ARE_NLD",-0.827891547210708,3.40755440598313,32,NA,NA,NA
"real","ARE_PHL",-1.27858443071223,6.40616101090976,31,NA,NA,NA
"real","ARE_PRT",-0.204835651414229,1.39441943250527,32,NA,NA,NA
"real","ARE_SGP",-0.161414965897715,1.04867316605854,24,NA,NA,NA
"real","ARE_SWE",-0.716269731283385,2.3104594623512,32,NA,NA,NA
"real","ARE_THA",-0.272014676904377,0.202232581308134,32,NA,NA,NA
"real","ARE_TUN",-1.38980890573789,4.9400361986796,8,NA,NA,NA
"real","ARE_TUR",-0.844267463662969,1.63427386369578,32,NA,NA,NA
"real","ARE_TWN",-1.18436977838431,4.61739978781279,32,NA,NA,NA
"real","ARE_USA",-0.384178479979425,2.92658377706906,32,NA,NA,NA
"real","ARG_AGO",-0.188211998840072,0.448443197149232,32,NA,NA,NA
"real","ARG_ARE",-0.462038928717,1.09479363857947,32,NA,NA,NA
"real","ARG_AUS",-0.25602078087009,0.226320740599732,32,NA,NA,NA
"real","ARG_AUT",-0.446981059409481,0.439482692264636,32,NA,NA,NA
"real","ARG_BGR",-0.190853601181862,0.363297458196628,29,NA,NA,NA
"real","ARG_BHR",-0.513260685948624,2.42808910785629,30,NA,NA,NA
"real","ARG_BHS",-1.40134148788918,3.04098713869801,31,NA,NA,NA
"real","ARG_BRB",-0.297164863133166,0.542306274091396,32,NA,NA,NA
"real","ARG_CAN",-0.456193832022457,0.424134297305894,32,NA,NA,NA
"real","ARG_CHE",-0.499928400687094,0.806160208934793,32,NA,NA,NA
"real","ARG_CHN",0.0668445560952181,0.189808087011553,32,NA,NA,NA
"real","ARG_CIV",-0.602100128285907,0.887752332542722,31,NA,NA,NA
"real","ARG_COD",-0.620270566932578,1.46837367555118,31,NA,NA,NA
"real","ARG_COG",-0.28080054672705,0.784186834475422,32,NA,NA,NA
