"K","component","pi","mu","sigma"
2,1,0.841951043306068,0.220438428661264,1.05270944806648
2,2,0.158048956693932,0.390174873394444,2.80026770801962
3,1,0.0777712325892694,-0.0529475056899484,2.7679527215779
3,2,0.841594976439462,0.220316004432532,1.05219453495735
3,3,0.0806337909712691,0.818094326089498,2.76112640273314
