"artifact","status","committed_sha256","rebuilt_sha256"
"T41_drift_inflation.csv","DIFFERENT","b725304b04fa0724e78e3e85712549d581718f10822c31596ce3fa3e4bc1ff3f","2b8e201895b8587fd4651f2ebcb976f237e679e78e667d80c3333209d1587cbc"
"T42_ge_twodyad.csv","IDENTICAL","e67ff87216b2571f17d4915afb7099201aaafde093026c379c742e766021349d","e67ff87216b2571f17d4915afb7099201aaafde093026c379c742e766021349d"
"T43_ge_gradient.csv","IDENTICAL","c6bfd624ef47a9b54ad54f861a2a87af6b7562718d20ea6ff83281d0cbba5efc","c6bfd624ef47a9b54ad54f861a2a87af6b7562718d20ea6ff83281d0cbba5efc"
"T4R_ge_propagation.csv","IDENTICAL","a44e52291f08c12561498a6545674015ab5c475d18f819afbef7923032b9de16","a44e52291f08c12561498a6545674015ab5c475d18f819afbef7923032b9de16"
"T5R_theta_summary.csv","IDENTICAL","aed2be043386613b31f1848e4861ea3d9ea4afb687eec2247faf5feddfb92f8f","aed2be043386613b31f1848e4861ea3d9ea4afb687eec2247faf5feddfb92f8f"
"T9_placebo_holdout.csv","IDENTICAL","169b03e9ca1feabfdaae6e0a0033f1c12b5a7bd9ffbb69a39671539effbe36dd","169b03e9ca1feabfdaae6e0a0033f1c12b5a7bd9ffbb69a39671539effbe36dd"
"TD1R_population_census.csv","IDENTICAL","31de0e8a9380cc0f89761c79f60f57e27fe2d85862eebe6bc98dcf920a98cfb1","31de0e8a9380cc0f89761c79f60f57e27fe2d85862eebe6bc98dcf920a98cfb1"
"V1_attrition.csv","IDENTICAL","54d27b834dab2e07e71ed25500c570bec1c7abd48a567ec2bcbde361f8c02e9f","54d27b834dab2e07e71ed25500c570bec1c7abd48a567ec2bcbde361f8c02e9f"
"V2_coverage.csv","IDENTICAL","58cd13130ef4abd5c74d57f40d44ce2d0679185ffc03e7438d67841b8c866c18","58cd13130ef4abd5c74d57f40d44ce2d0679185ffc03e7438d67841b8c866c18"
"V3_horizon_cohort.csv","IDENTICAL","77b3d267d6b59a964f32eab57dc5b4469dcafe1cc8c85255aa0796c5fd9a75ef","77b3d267d6b59a964f32eab57dc5b4469dcafe1cc8c85255aa0796c5fd9a75ef"
"V4_split_length.csv","IDENTICAL","934d0604059247eec77bb3b9604cf2d71adfc437f8026abcc7d2de6e2f68ce44","934d0604059247eec77bb3b9604cf2d71adfc437f8026abcc7d2de6e2f68ce44"
"rebuild_diff.csv","NO_SIDECAR",NA,"397bf70892b5a5f86170dc1db674707578b4b50eaeb57d953a511be2407aeee5"
"rebuild_env.txt","NO_SIDECAR",NA,"cf5f5b9f232c75020d12eb1879504b79cd91a0be2369588af9046d4517977db8"
"rebuild_log.txt","NO_SIDECAR",NA,"6e08367b4e68b9c82e73e9ce7bfe18eede962f9cdc16b5e5fefb445b6dff756c"
"run_all_log.txt","NO_SIDECAR",NA,"dd34998d7e4de1929d0327da4bb100402c3fbb1ea26a8c997abf3c3f4c291680"
