"definition","treated_mean","treated_sd","treated_n","placebo_mean","placebo_sd","placebo_n"
"A",-0.283667301976638,1.66301724599256,4182,-0.68798424523333,1.11867236852416,17200
"B",0.0758107555171095,1.57990785126238,4182,-0.207204589838223,0.824354559230742,17200
"D",0.24726509666428,1.56139374983352,4182,NA,NA,NA
