"Population","N","Var_theta_hat","Mean_SE_sq","Var_theta","SD_theta","Reliability"
"Full (all switchers)",6109,0.500945131717239,0.229322913561713,0.271622218155526,0.521173884759708,0.54221949861935
"BASELINE (filtered)",4639,0.47777371987645,0.187558056197765,0.290215663678684,0.538716682198245,0.607433292383124
