"pair","theta_A","n_post_cells"
"AGO_USA",-0.232314326875731,17
"AGO_ZAF",0.197590824369903,4
"AIA_ATG",-0.45531820398169,9
"AIA_AUS",-0.0453354021928927,4
"AIA_AZE",-1.00682425130975,16
"AIA_FJI",-0.337853607367435,4
"AIA_GUY",-2.3902669260057,11
"AIA_IDN",-2.88501387585813,16
"AIA_JPN",-1.11634531425632,16
"AIA_KAZ",-4.38872387862534,4
"AIA_KNA",-0.524409239960901,5
"AIA_KOR",-2.25719343584888,8
"AIA_LCA",0.170166119898769,7
"AIA_MEX",-1.06201607529901,8
"AIA_NZL",0.0901253066851704,7
"AIA_RUS",-0.919686102500691,16
"AIA_TTO",-0.609361780192959,9
"AIA_TWN",-1.05526702052533,9
"AIA_UKR",-3.71010318565255,12
"AIA_USA",0.225539878018573,18
"AIA_VCT",-2.26899118587949,12
"AIA_ZAF",-2.59695803179497,7
"ALB_AND",0.811879308601801,4
"ALB_ARE",0.153649344818897,9
"ALB_ARG",0.235920067411388,5
"ALB_ARM",0.239462801373479,8
"ALB_AUS",-1.10233363799172,13
"ALB_BEN",-0.226514227957571,5
"ALB_BHR",0.216395216772307,11
"ALB_BLR",-0.291928317130656,9
"ALB_BOL",-1.67661236870302,5
"ALB_BRA",0.234278766376755,9
"ALB_BRB",-0.0489766736304252,13
"ALB_CAN",0.072630425697194,15
"ALB_CHL",1.1541510516409,4
"ALB_CHN",0.289727753906401,9
"ALB_CIV",0.835273805100924,5
"ALB_CMR",-1.80407941858832,10
"ALB_COL",-0.785728623091186,6
"ALB_CRI",-0.082053178157668,18
"ALB_DMA",-1.18630413839105,5
"ALB_DOM",0.315248534592511,6
"ALB_DZA",-0.402911290480716,14
"ALB_ECU",0.116427596709634,5
"ALB_EGY",0.134692425798746,21
"ALB_ETH",-1.13203190834912,4
"ALB_FRO",0.0152538124381646,6
"ALB_GEO",-1.41598954194469,7
"ALB_GTM",-3.55953205014035,6
"ALB_HKG",0.32451322867725,6
"ALB_IDN",-0.37166904179228,7
"ALB_IND",0.180939780410021,8
"ALB_ISR",-0.293458065098576,6
"ALB_JOR",-0.908421108596305,4
"ALB_JPN",-1.23023083865267,25
"ALB_KAZ",0.285320542367992,10
