"Population","N","Mean_theta_A","SD_theta_A","Mean_theta_B","SD_theta_B","Mean_theta_D","SD_theta_D","theta_D_q10","theta_D_q90"
"Full",6339,-0.590559426927672,1.13917650154915,-0.122079887595796,0.81132222962101,0.0306879007375117,0.796111335061864,-0.495309146320326,0.502062840924988
"BASELINE",4875,-0.548403286896654,1.05186922852437,-0.102150484023265,0.676341139366645,0.0501609886157518,0.661726532174635,-0.496875639002453,0.509244346040251
