"pair","theta_A","n_post_cells","qualifies"
"AUT_BRB",-0.718956925832708,10,TRUE
"AUT_CHL",1.07747323081385,15,TRUE
"AUT_CMR",-0.527251265701193,4,TRUE
"AUT_COL",-0.27900606865812,5,TRUE
"AUT_CRI",-0.0310554164048316,5,TRUE
"AUT_CYP",-0.123592300354717,23,TRUE
"AUT_DMA",-2.13427591744335,10,TRUE
"AUT_DOM",0.431810463674736,10,TRUE
"AUT_DZA",-0.501162164757241,23,TRUE
"AUT_EGY",3.76874623328966,23,TRUE
"AUT_FJI",0.305683848095924,9,TRUE
"AUT_GEO",-0.122423190048432,4,TRUE
"AUT_GRD",-0.648629165807847,10,TRUE
"AUT_GTM",-0.319485648417787,5,TRUE
"AUT_GUY",0.42482595385993,10,TRUE
"AUT_HND",0.173828698819751,5,TRUE
"AUT_HRV",0.145804957335594,16,TRUE
"AUT_HUN",2.0826671981203,25,TRUE
"AUT_ISR",2.75846795603869,25,TRUE
"AUT_JAM",-0.184983030137851,10,TRUE
"AUT_JOR",-0.316988164734758,16,TRUE
"AUT_KNA",-1.23749265751572,10,TRUE
"AUT_KOR",0.103170780161852,7,TRUE
"AUT_LBN",4.92682142485364,23,TRUE
"AUT_LCA",-1.26385303823954,10,TRUE
"AUT_MAR",0.693387719393745,23,TRUE
"AUT_MDA",0.111061040433807,4,TRUE
"AUT_MDG",-0.563517896917402,6,TRUE
"AUT_MEX",-0.648336341695118,18,TRUE
"AUT_MKD",-0.26857946576531,17,TRUE
"AUT_MLT",5.25461882269696,23,TRUE
"AUT_MUS",0.105698332375779,6,TRUE
"AUT_NIC",0.0206609327108605,5,TRUE
"AUT_PAN",0.906674186950898,5,TRUE
"AUT_PER",0.107436625776159,5,TRUE
"AUT_PNG",-0.334490389019098,9,TRUE
"AUT_POL",1.27548954460776,25,TRUE
"AUT_ROU",1.48664331620325,25,TRUE
"AUT_SLV",-0.0775138532404576,5,TRUE
"AUT_SRB",0.307011172445446,8,TRUE
"AUT_SUR",0.0427172062653495,10,TRUE
"AUT_SYC",0.259665869891436,6,TRUE
"AUT_SYR",6.65011156632108,23,TRUE
"AUT_TTO",-0.735287555282647,10,TRUE
"AUT_TUN",-0.390421857735908,23,TRUE
"AUT_TUR",-0.219926861096106,26,TRUE
"AUT_UKR",-0.34874563332304,4,TRUE
"AUT_VCT",0.0318304056318289,10,TRUE
"AUT_VGB",1.30584577797848,11,TRUE
"AUT_ZAF",2.58375067508316,18,TRUE
"AUT_ZWE",-0.706205091838517,6,TRUE
"BDI_EGY",1.99034511418088,10,TRUE
"BEL_ALB",-0.305792676777833,12,TRUE
"BEL_ATG",0.431871784298554,10,TRUE
"BEL_BHS",-0.0990157698091239,10,TRUE
"BEL_BIH",-0.433391657157322,10,TRUE
"BEL_BLZ",-0.518477563883801,10,TRUE
"BEL_BRB",-0.356939390635009,10,TRUE
"BEL_CHL",0.925892071612607,15,TRUE
"BEL_CMR",-0.369648484236834,4,TRUE
"BEL_COL",-0.0888997055340432,5,TRUE
"BEL_CRI",-0.132288504691163,5,TRUE
"BEL_DMA",-0.887173239436005,10,TRUE
"BEL_DOM",-0.245760376233023,10,TRUE
"BEL_FJI",-0.537160459242575,9,TRUE
"BEL_GEO",0.134566284497079,4,TRUE
"BEL_GRD",-0.489421183409899,10,TRUE
"BEL_GTM",0.806368049297027,5,TRUE
"BEL_GUY",-0.252260654545084,10,TRUE
"BEL_HND",-0.653254302848203,5,TRUE
"BEL_JAM",0.344144068295381,10,TRUE
"BEL_KNA",-0.313015675897819,10,TRUE
"BEL_KOR",-0.0440064708927383,7,TRUE
"BEL_LCA",-1.71578473088604,10,TRUE
"BEL_MDA",-0.0723356992302604,4,TRUE
"BEL_MDG",-0.506354661374497,6,TRUE
"BEL_MUS",0.084226282581648,6,TRUE
"BEL_NIC",-0.875329566255935,5,TRUE
"BEL_PAN",0.847773994450636,5,TRUE
"BEL_PER",0.124732322515031,5,TRUE
"BEL_PNG",-0.801263993523021,9,TRUE
"BEL_SLV",-0.731149860014699,5,TRUE
"BEL_SRB",0.486940333377315,8,TRUE
"BEL_SUR",-0.0177885910759345,10,TRUE
"BEL_SYC",0.032322568768345,6,TRUE
"BEL_TTO",-0.147169710905421,10,TRUE
"BEL_UKR",-0.00419162492839376,4,TRUE
"BEL_VCT",-1.22168787288984,10,TRUE
"BEL_VGB",1.30292207494181,11,TRUE
"BEL_ZWE",-0.14949707717097,6,TRUE
"BEN_COL",1.22705006879638,21,TRUE
"BEN_MAR",-2.16216859507148,21,TRUE
"BGD_AFG",-2.21183176750892,6,TRUE
"BGD_BTN",0.971297309454425,17,TRUE
"BGD_CHN",-0.777394984204413,16,TRUE
"BGD_COL",2.32060114236186,21,TRUE
"BGD_MAR",-1.16153377769962,21,TRUE
