"quintile","n","mean_theta_D","mean_theta_B","mean_pre_trade","sd_theta_D","se_mean"
1,837,0.855441640476092,0.557141761829632,0.675591359617494,2.19785307189689,0.0759689155890652
2,836,0.374436386815467,0.136612571511766,7.80351205960304,1.73932854476013,0.0601559355912858
3,836,0.130798792905637,-0.0218289359174699,47.0922845821652,1.40360225606739,0.0485445991018433
4,836,-0.0664197406967008,-0.167637611954365,251.599988418477,1.06784988282006,0.0369323604592164
5,837,-0.0582935792746363,-0.12556887794723,15690.9565323628,0.801154858527451,0.0276919629430518
