"arm","sd_true","dyad","dyad_quintile","sigma","q10","q50","q90","RANGE_1090"
"lo",0.74,"LUX_ATG",1,5,-0.457896397786341,0.31450055508246,2.43041101657128,6.3279620400295
"hi",1.48,"LUX_ATG",1,5,-0.770603365819619,0.350577877719061,8.09769857388177,39.6592504784878
"lo",0.74,"NLD_CRI",5,5,-0.457207831624004,0.313353871948093,2.40730513415782,6.2773660577165
"hi",1.48,"NLD_CRI",5,5,-0.770112959100014,0.34926401675971,7.89392473168096,38.6882387839787
