"seed","matching_cell","n_bhat_NA","n_pairs_dropped","mean_theta_D","SD_theta_D","Q1_mean","Q2_mean","Q3_mean","Q4_mean","Q5_mean","Q1_Q5_spread","Q1_Q5_theta_B","Q1_Q5_bhat"
20260719,"decile_only",0,0,0.043822372329425,0.6767218142163,0.135514663434004,0.054175711534722,0.0126107709009961,-0.0137555692886218,0.0306650914141975,0.104849572019807,-0.0906175717408388,-0.195467143760646
20260719,"decile_tercile",1,1,-1.31253618477732,1.01613896861427,-0.623471643485656,-1.23601557709038,-1.20481550306605,-1.89912775870755,-1.59776538864625,0.974293745160592,-0.0906175717408388,-1.06477503213646
42,"decile_only",0,0,-1.53502732750002,0.926718555245479,-0.977617402786216,-1.20593441561341,-1.3751219281456,-1.89774557583651,-2.21811665787189,1.24049925508567,-0.0906175717408388,-1.33111682682651
42,"decile_tercile",1,1,-1.58116623562889,1.35859866226787,-0.489864698749811,-0.897952418591871,-1.58909480539434,-2.50380833727912,-2.4227589751619,1.93289427641208,-0.0906175717408388,-2.02337556338796
999,"decile_only",0,0,-1.28859346098867,0.896656390992869,-0.646757928295024,-1.38581751853362,-1.31806236838476,-1.34617665862053,-1.74546119799228,1.09870326969726,-0.0906175717408388,-1.1893208414381
999,"decile_tercile",1,1,-1.38967905304436,0.92806818274927,-0.83260363340044,-1.13772017865799,-1.42893398535597,-1.70579327940077,-1.8421435948298,1.00953996142936,-0.0906175717408388,-1.10002124840523
12345,"decile_only",0,0,-1.33151688154657,0.989392084528327,-0.421568774989155,-0.886436639963564,-1.6581817597565,-1.84442012006908,-1.84599656542593,1.42442779043677,-0.0906175717408388,-1.51504536217761
12345,"decile_tercile",1,1,-1.1309886333885,0.906825568687446,-0.629629934100102,-0.862413863645033,-1.38482203981641,-1.19623881223633,-1.58075800270648,0.951128068606375,-0.0906175717408388,-1.04160935558225
