"Quintile","N","Mean_theta_D","Mean_theta_B","Mean_b_hat","SD_theta_D"
1,927,0.135514663434004,-0.115942222697149,-0.251456886131154,0.769518530110753
2,928,0.054175711534722,-0.15886301949349,-0.213038731028212,0.822982532590024
3,928,0.0126107709009961,-0.127571977363266,-0.140182748264262,0.682532835414523
4,928,-0.0137555692886218,-0.123042460377552,-0.10928689108893,0.611009860620816
5,928,0.0306650914141975,-0.0253246509563105,-0.055989742370508,0.412622918753928
