"arm","SD_true","mean","P_normal_form","P_reported","basis","raw_share"
"C_hardened",0.74,0.24726509666428,0.369136195609526,0.369136195609526,"normal form (shape unidentified)",0.421090387374462
"A_noise_only",1.475,0.24726509666428,0.433434291520773,0.421090387374462,"capped at empirical share of non-positive estimates",0.421090387374462
