"arm","shape","SD_true","mean","q10","q50","q90","RANGE_1090"
"C_hardened","symmetric",0.74,0.2473,-50.1150907001932,28.1843565197729,231.07830426443,6.63684286313239
"C_hardened","normal_same_SD",0.74,0.2473,-50.1150907001932,28.1843565197729,231.07830426443,6.63684286313239
"A_noise_only","symmetric",1.475,0.2473,-81.1591139484619,23.5366290592624,737.214380880734,44.4360407780497
"A_noise_only","normal_same_SD",1.475,0.2473,-81.1591139484619,23.5366290592624,737.214380880734,44.4360407780497
