"quintile","n","mean_theta_D","mean_theta_B","mean_b_hat","se"
1,837,0.855441640476092,0.557141761829632,-0.29829987864646,0.0759689155890652
2,836,0.374436386815467,0.136612571511766,-0.237823815303701,0.0601559355912858
3,836,0.130798792905637,-0.0218289359174699,-0.152627728823107,0.0485445991018433
4,836,-0.0664197406967008,-0.167637611954365,-0.101217871257665,0.0369323604592164
5,837,-0.0582935792746363,-0.12556887794723,-0.0672752986725935,0.0276919629430518
