"item","value"
"n_pairs","4182"
"mean_n_post","11.6319942611191"
"mean_coverage","1"
"min_coverage","1"
"n_full_coverage","4182"
"pct_full_coverage","100"
"G5_threshold","0.8"
"G5_status","PASS"
