"Quintile","N","Mean_theta_D","SD_theta_D"
1,34,-0.329130127395573,1.03337974511362
2,284,-0.144836895758909,0.938538162874855
3,844,-0.0358483958951901,1.0259692525586
4,1406,0.0477449933302703,0.70504584197386
5,2071,0.105621764112198,0.330109361191194
