"arm","SD_true","mean","P_theta_leq_0","shape"
"C_hardened",0.74,0.2473,0.369118400643008,"symmetric (skew under-identified)"
"A_noise_only",1.475,0.2473,0.433424982976138,"symmetric (skew under-identified)"
