"seed","size_decile","b_hat","n_placebo","se_bhat"
42,1,-0.120792283595523,29,0.151803891709266
42,2,-0.21402649238724,96,0.0813908074722905
42,3,-0.237171187917416,159,0.0750171102252044
42,4,-0.201611768039886,284,0.0431410909743004
42,5,-0.258052978376102,461,0.0455660595130492
42,6,-0.26249158570096,628,0.0352956062065045
42,7,-0.15955859731753,794,0.0279542464631294
42,8,-0.118785130071832,1004,0.021182129978956
42,9,-0.118007411223441,1349,0.0206050746179612
42,10,-0.0285182652039438,1535,0.0092779238139216
