arm,shape,q10,q50,q90,RANGE_1090
A,empirical,-35.6027971949658,19.0448261130359,71.7542402898592,2.66710715385968
A,normal_same_SD,-58.5246695258191,3.92934498893707,162.822234127526,6.33683279006391
B,empirical,-88.6545434650626,-28.8354590352583,21.8529967853135,10.7402462307336
B,normal_same_SD,-88.5036747999267,-50.9380666127679,110.633263744523,18.3217906660452
C,empirical,-31.4457306270793,19.7063548668976,71.1374295585401,2.49637887069569
C,normal_same_SD,-50.7242963192754,8.93946919335693,137.402322332136,4.81783728285958
