arm,n,lambda,SD_true,raw,EB,mixture,closed
A,4182,0.587911627268516,0.440887252528079,0.222142515542802,0.197513151602104,0.113871858153427,0.437296435014896
C,4182,0.587911627268516,0.440887252528079,0.222142515542802,0.197513151602104,0.113916746373628,0.437296435014896
