arm,K_bic_best,bulk_winners_identified,mean_true,sd_true,skew_sign,skew_quantile,skew_ci_lo,skew_ci_hi
A,3,TRUE,0.040924310638272,0.720204236160781,0,0.00995380250220437,-0.0468018635869624,0.078016940894015
B,3,FALSE,-0.71214410265464,1.11650393993797,-,-0.410995041630734,-0.428543581353064,-0.39194319192676
C,3,TRUE,0.0710071515917586,0.607721857676738,+,0.0602057068923621,0.000437366118375614,0.11927566430237
